"string","D","length"
"0",0.175035961691245,1
"00",0.0996187277370206,2
"01",0.0996187277370206,2
"000",0.0237456493791677,3
"001",0.0229434201228552,3
"011",0.0229434201228552,3
"010",0.022014794152995,3
"0000",0.00409810315977953,4
"0001",0.00343135526753883,4
"0111",0.00343135526753883,4
"0010",0.00326741374083327,4
"0100",0.00326741374083327,4
"0101",0.00326499386589889,4
"0011",0.00308780113966331,4
"0110",0.00294663985140246,4
"00000",0.000595926147287282,5
"00001",0.000420285619165738,5
"01111",0.000420285619165738,5
"00010",0.000390593365062433,5
"01000",0.000390593365062433,5
"00100",0.000362310038347851,5
"01001",0.000343125984187285,5
"01101",0.000343125984187285,5
"01010",0.000336327933720199,5
"00101",0.000331549720716906,5
"01011",0.000331549720716906,5
"00011",0.000316936167628768,5
"00111",0.000316936167628768,5
"00110",0.00030471295892445,5
"01100",0.00030471295892445,5
"01110",0.000273908281094309,5
"000000",9.36317093885098e-05,6
"000001",5.56337704622581e-05,6
"011111",5.56337704622581e-05,6
"000010",5.02657253073077e-05,6
"010000",5.02657253073077e-05,6
"010101",4.44521452200131e-05,6
"010010",4.41793205129448e-05,6
"000100",4.06206484951447e-05,6
"001000",4.06206484951447e-05,6
"001010",3.84852138883595e-05,6
"010100",3.84852138883595e-05,6
"010110",3.70491574810836e-05,6
"011010",3.70491574810836e-05,6
"001001",3.6140127451031e-05,6
"011011",3.6140127451031e-05,6
"000011",3.42667063077249e-05,6
"001111",3.42667063077249e-05,6
"010001",3.30849159439565e-05,6
"011101",3.30849159439565e-05,6
"001101",3.11758058660275e-05,6
"010011",3.11758058660275e-05,6
"000110",3.10629872161165e-05,6
"011000",3.10629872161165e-05,6
"000101",3.10068310350203e-05,6
"010111",3.10068310350203e-05,6
"011001",2.88803634622646e-05,6
"001100",2.73706065255897e-05,6
"011110",2.68738669408354e-05,6
"001011",2.52679014190301e-05,6
"000111",2.47102681223953e-05,6
"001110",2.36740868024754e-05,6
"011100",2.36740868024754e-05,6
"0000000",1.35297407067845e-05,7
"0000001",7.56355227841578e-06,7
"0111111",7.56355227841578e-06,7
"0101010",6.3138184507516e-06,7
"0000010",6.30911919601477e-06,7
"0100000",6.30911919601477e-06,7
"0000100",5.46579522090151e-06,7
"0010000",5.46579522090151e-06,7
"0001000",4.9387688436782e-06,7
"0000011",3.92097394510551e-06,7
"0011111",3.92097394510551e-06,7
"0100101",3.89964200792363e-06,7
"0101101",3.89964200792363e-06,7
"0010010",3.8661417672877e-06,7
"0100100",3.8661417672877e-06,7
"0000110",3.84136672565407e-06,7
"0110000",3.84136672565407e-06,7
"0001010",3.77616347879286e-06,7
"0101000",3.77616347879286e-06,7
"0010001",3.68882449775294e-06,7
"0111011",3.68882449775294e-06,7
"0010101",3.6645209474313e-06,7
"0101011",3.6645209474313e-06,7
"0101001",3.54633147213243e-06,7
"0110101",3.54633147213243e-06,7
"0000101",3.52689071965952e-06,7
"0101111",3.52689071965952e-06,7
"0001001",3.43843303414135e-06,7
"0110111",3.43843303414135e-06,7
"0101110",3.35284257254257e-06,7
"0111010",3.35284257254257e-06,7
"0100001",3.27419051445748e-06,7
"0111101",3.27419051445748e-06,7
"0100010",3.27223321657561e-06,7
